FID,CITY,REGION,ORG_E_ID,WEBSITE,Shape__Area,Shape__Length,LABEL
1,Edinburg,01,1,www.esc1.net,34188948873.2578,1433043.5746458,ESC 1
2,Corpus Christi,02,2,www.esc2.net,40496938862.6855,1176396.27360873,ESC 2
3,Victoria,03,3,www.esc3.net,36902602067.9844,1342697.06052829,ESC 3
4,Houston,04,4,www.esc4.net,26091174622.1172,1123204.35213564,ESC 4
5,Beaumont,05,5,www.esc5.net,19294401851.1719,1048243.9921426,ESC 5
6,Huntsville,06,7,www.esc6.net,42826347362.3281,1800492.73735777,ESC 6
7,Kilgore,07,8,www.esc7.net,46003451591.7852,1671638.0930145,ESC 7
8,Mt. Pleasant,08,9,www.reg8.net,24567569367.2773,1205053.5366891,ESC 8
9,Wichita Falls,09,10,www.esc9.net,40275514069.75,1314506.74916252,ESC 9
10,Richardson,10,11,www.region10.org,25733777214.1758,1181680.96212118,ESC 10
11,Fort Worth,11,12,www.esc11.net,28806881301.5,1288216.45639882,ESC 11
12,Waco,12,13,www.esc12.net,40804610273.5742,1609326.06198471,ESC 12
13,Austin,13,14,www.esc13.net,44106527906.9258,1691636.80551719,ESC 13
14,Abilene,14,15,www.esc14.net,43438009557.6211,1528756.25993667,ESC 14
15,San Angelo,15,16,www.netxv.net,88606921013.2305,2164060.46204992,ESC 15
16,Amarillo,16,17,www.esc16.net,101536441379.449,1426095.85791251,ESC 16
17,Lubbock,17,18,www.esc17.net,70740576834.2266,1407972.32229648,ESC 17
18,Midland,18,19,www.esc18.net,134546137493.98,2314339.91011519,ESC18
19,El Paso,19,20,www.esc19.net,16250332098.8125,679290.233538742,ESC 19
20,San Antonio,20,21,www.esc20.net,55470494100.7969,1528397.93879829,ESC 20
